"CommonName","Scientific.name","Category","BOCC.category","Schedule1","Annex2","group","protection"
"swift","Apus apus","AF","Red",0,NA,"bird","RedBOCC"
"pallid swift","Apus pallidus","A",NA,0,NA,"bird","None"
"pacific swift","Apus pacificus","A",NA,0,NA,"bird","None"
"little swift","Apus affinis","A",NA,0,NA,"bird","None"
"white-rumped swift","Apus caffer","A",NA,0,NA,"bird","None"
"great bustard","Otis tarda","AE*F",NA,0,NA,"bird","None"
"macqueen's bustard","Chlamydotis macqueenii","A",NA,0,NA,"bird","None"
"little bustard","Tetrax tetrax","AF",NA,0,NA,"bird","None"
"great spotted cuckoo","Clamator glandarius","A",NA,0,NA,"bird","None"
"yellow-billed cuckoo","Coccyzus americanus","A",NA,0,NA,"bird","None"
"black-billed cuckoo","Coccyzus erythropthalmus","A",NA,0,NA,"bird","None"
"cuckoo","Cuculus canorus","AF","Red",0,NA,"bird","RedBOCC"
"pallas's sandgrouse","Syrrhaptes paradoxus","A",NA,0,NA,"bird","None"
"rock dove","Columba livia","AC4E*F",NA,0,NA,"bird","None"
"stock dove","Columba oenas","AF","Amber",0,NA,"bird","AmberBOCC"
"woodpigeon","Columba palumbus","AF","Amber",0,NA,"bird","AmberBOCC"
"turtle dove","Streptopelia turtur","AF","Red",0,NA,"bird","RedBOCC"
"oriental turtle dove","Streptopelia orientalis","A",NA,0,NA,"bird","None"
"collared dove","Streptopelia decaocto","A",NA,0,NA,"bird","None"
"mourning dove","Zenaida macroura","A",NA,0,NA,"bird","None"
"water rail","Rallus aquaticus","AF",NA,0,NA,"bird","None"
"corncrake","Crex crex","AE*F","Red",1,NA,"bird","Schedule1"
"sora rail","Porzana carolina","A",NA,0,NA,"bird","None"
"spotted crake","Porzana porzana","AF","Amber",1,NA,"bird","Schedule1"
"moorhen","Gallinula chloropus","AF","Amber",0,NA,"bird","AmberBOCC"
"coot","Fulica atra","AF",NA,0,NA,"bird","None"
"american coot","Fulica americana","A",NA,0,NA,"bird","None"
"allen's gallinule","Porphyrio alleni","A",NA,0,NA,"bird","None"
"american purple gallinule","Porphyrio martinica","A",NA,0,NA,"bird","None"
"western swamphen","Porphyrio porphyrio","AE",NA,0,NA,"bird","None"
"baillon's crake","Zapornia pusilla","A",NA,0,NA,"bird","None"
"little crake","Zapornia parva","A",NA,0,NA,"bird","None"
"sandhill crane","Antigone canadensis","A",NA,0,NA,"bird","None"
"crane","Grus grus","AE*F","Amber",0,NA,"bird","AmberBOCC"
"little grebe","Tachybaptus ruficollis","AF",NA,0,NA,"bird","None"
"pied-billed grebe","Podilymbus podiceps","A",NA,0,NA,"bird","None"
"red-necked grebe","Podiceps grisegena","AF","Red",0,NA,"bird","RedBOCC"
"great crested grebe","Podiceps cristatus","AF",NA,0,NA,"bird","None"
"slavonian grebe","Podiceps auritus","AF","Red",1,NA,"bird","Schedule1"
"black-necked grebe","Podiceps nigricollis","A","Amber",1,NA,"bird","Schedule1"
"stone-curlew","Burhinus oedicnemus","AF","Amber",1,NA,"bird","Schedule1"
"oystercatcher","Haematopus ostralegus","AF","Amber",0,NA,"bird","AmberBOCC"
"black-winged stilt","Himantopus himantopus","A","Amber",1,NA,"bird","Schedule1"
"avocet","Recurvirostra avosetta","AEF","Amber",1,NA,"bird","Schedule1"
"lapwing","Vanellus vanellus","AF","Red",0,NA,"bird","RedBOCC"
"sociable plover","Vanellus gregarius","A",NA,0,NA,"bird","None"
"white-tailed plover","Vanellus leucurus","A",NA,0,NA,"bird","None"
"golden plover","Pluvialis apricaria","AF",NA,0,NA,"bird","None"
